,change,temp,adm0,response
2,5.3419294397602775,23.8645967042722,France,transit
3,5.147893874789695,24.69213506982427,France,transit
4,4.953858309819111,25.519673435376347,France,transit
5,4.759822744848528,26.34721180092842,France,transit
6,4.565787179877945,27.174750166480493,France,transit
7,4.371751614907362,28.00228853203257,France,transit
8,4.1777160499367785,28.829826897584642,France,transit
9,3.9836804849661958,29.657365263136718,France,transit
10,3.7896449199956126,30.48490362868879,France,transit
11,3.5956093550250294,31.312441994240864,France,transit
12,3.401573790054446,32.13998035979294,France,transit
13,3.207538225083863,32.967518725345016,France,transit
14,3.01350266011328,33.79505709089709,France,transit
15,2.8194670951426968,34.62259545644916,France,transit
16,2.6254315301721136,35.450133822001234,France,transit
17,2.4313959652015305,36.27767218755331,France,transit
18,2.2373604002309473,37.10521055310539,France,transit
19,2.043324835260364,37.93274891865746,France,transit
0,5.422247170597418,19.090580205336305,India,transit
1,5.173133165553589,20.608683974934475,India,transit
2,4.924019160509759,22.12678774453265,India,transit
3,4.674905155465929,23.64489151413082,India,transit
4,4.4257911504221,25.16299528372899,India,transit
